Bulbasaur,45,49,49,65,65,45,Grass Poison
Ivysaur,60,62,63,80,80,60,Grass Poison
Venusaur,80,82,83,100,100,80,Grass Poison
Venusaur Mega Venusaur,80,100,123,122,120,80,Grass Poison
Charmander,39,52,43,60,50,65,Fire 
Charmeleon,58,64,58,80,65,80,Fire 
Charizard,78,84,78,109,85,100,Fire Flying
Charizard Mega Charizard X,78,130,111,130,85,100,Fire Dragon
Charizard Mega Charizard Y,78,104,78,159,115,100,Fire Flying
Squirtle,44,48,65,50,64,43,Water 
Wartortle,59,63,80,65,80,58,Water 
Blastoise,79,83,100,85,105,78,Water 
Blastoise Mega Blastoise,79,103,120,135,115,78,Water 
Caterpie,45,30,35,20,20,45,Bug 
Metapod,50,20,55,25,25,30,Bug 
Butterfree,60,45,50,90,80,70,Bug Flying
Weedle,40,35,30,20,20,50,Bug Poison
Kakuna,45,25,50,25,25,35,Bug Poison
Beedrill,65,90,40,45,80,75,Bug Poison
Beedrill Mega Beedrill,65,150,40,15,80,145,Bug Poison
Pidgey,40,45,40,35,35,56,Normal Flying
Pidgeotto,63,60,55,50,50,71,Normal Flying
Pidgeot,83,80,75,70,70,101,Normal Flying
Pidgeot Mega Pidgeot,83,80,80,135,80,121,Normal Flying
Rattata,30,56,35,25,35,72,Normal 
Rattata Alolan Rattata,30,56,35,25,35,72,Dark Normal
Raticate,55,81,60,50,70,97,Normal 
Raticate Alolan Raticate,75,71,70,40,80,77,Dark Normal
Spearow,40,60,30,31,31,70,Normal Flying
Fearow,65,90,65,61,61,100,Normal Flying
Ekans,35,60,44,40,54,55,Poison 
Arbok,60,95,69,65,79,80,Poison 
Pikachu,35,55,40,50,50,90,Electric 
Pikachu Partner Pikachu,45,80,50,75,60,120,Electric 
Raichu,60,90,55,90,80,110,Electric 
Raichu Alolan Raichu,60,85,50,95,85,110,Electric Psychic
Sandshrew,50,75,85,20,30,40,Ground 
Sandshrew Alolan Sandshrew,50,75,90,10,35,40,Ice Steel
Sandslash,75,100,110,45,55,65,Ground 
Sandslash Alolan Sandslash,75,100,120,25,65,65,Ice Steel
Nidoran♀,55,47,52,40,40,41,Poison 
Nidorina,70,62,67,55,55,56,Poison 
Nidoqueen,90,92,87,75,85,76,Poison Ground
Nidoran♂,46,57,40,40,40,50,Poison 
Nidorino,61,72,57,55,55,65,Poison 
Nidoking,81,102,77,85,75,85,Poison Ground
Clefairy,70,45,48,60,65,35,Fairy 
Clefable,95,70,73,95,90,60,Fairy 
Vulpix,38,41,40,50,65,65,Fire 
Vulpix Alolan Vulpix,38,41,40,50,65,65,Ice 
Ninetales,73,76,75,81,100,100,Fire 
Ninetales Alolan Ninetales,73,67,75,81,100,109,Ice Fairy
Jigglypuff,115,45,20,45,25,20,Normal Fairy
Wigglytuff,140,70,45,85,50,45,Normal Fairy
Zubat,40,45,35,30,40,55,Poison Flying
Golbat,75,80,70,65,75,90,Poison Flying
Oddish,45,50,55,75,65,30,Grass Poison
Gloom,60,65,70,85,75,40,Grass Poison
Vileplume,75,80,85,110,90,50,Grass Poison
Paras,35,70,55,45,55,25,Bug Grass
Parasect,60,95,80,60,80,30,Bug Grass
Venonat,60,55,50,40,55,45,Bug Poison
Venomoth,70,65,60,90,75,90,Bug Poison
Diglett,10,55,25,35,45,95,Ground 
Diglett Alolan Diglett,10,55,30,35,45,90,Ground Steel
Dugtrio,35,100,50,50,70,120,Ground 
Dugtrio Alolan Dugtrio,35,100,60,50,70,110,Ground Steel
Meowth,40,45,35,40,40,90,Normal 
Meowth Alolan Meowth,40,35,35,50,40,90,Dark 
Meowth Galarian Meowth,50,65,55,40,40,40,Steel 
Persian,65,70,60,65,65,115,Normal 
Persian Alolan Persian,65,60,60,75,65,115,Dark 
Psyduck,50,52,48,65,50,55,Water 
Golduck,80,82,78,95,80,85,Water 
Mankey,40,80,35,35,45,70,Fighting 
Primeape,65,105,60,60,70,95,Fighting 
Growlithe,55,70,45,70,50,60,Fire 
Growlithe Hisuian Growlithe,60,75,45,65,50,55,Fire Rock
Arcanine,90,110,80,100,80,95,Fire 
Arcanine Hisuian Arcanine,95,115,80,95,80,90,Fire Rock
Poliwag,40,50,40,40,40,90,Water 
Poliwhirl,65,65,65,50,50,90,Water 
Poliwrath,90,95,95,70,90,70,Water Fighting
Abra,25,20,15,105,55,90,Psychic 
Kadabra,40,35,30,120,70,105,Psychic 
Alakazam,55,50,45,135,95,120,Psychic 
Alakazam Mega Alakazam,55,50,65,175,105,150,Psychic 
Machop,70,80,50,35,35,35,Fighting 
Machoke,80,100,70,50,60,45,Fighting 
Machamp,90,130,80,65,85,55,Fighting 
Bellsprout,50,75,35,70,30,40,Grass Poison
Weepinbell,65,90,50,85,45,55,Grass Poison
Victreebel,80,105,65,100,70,70,Grass Poison
Tentacool,40,40,35,50,100,70,Water Poison
Tentacruel,80,70,65,80,120,100,Water Poison
Geodude,40,80,100,30,30,20,Rock Ground
Geodude Alolan Geodude,40,80,100,30,30,20,Rock Electric
Graveler,55,95,115,45,45,35,Rock Ground
Graveler Alolan Graveler,55,95,115,45,45,35,Rock Electric
Golem,80,120,130,55,65,45,Rock Ground
Golem Alolan Golem,80,120,130,55,65,45,Rock Electric
Ponyta,50,85,55,65,65,90,Fire 
Ponyta Galarian Ponyta,50,85,55,65,65,90,Psychic 
Rapidash,65,100,70,80,80,105,Fire 
Rapidash Galarian Rapidash,65,100,70,80,80,105,Psychic Fairy
Slowpoke,90,65,65,40,40,15,Water Psychic
Slowpoke Galarian Slowpoke,90,65,65,40,40,15,Psychic 
Slowbro,95,75,110,100,80,30,Water Psychic
Slowbro Mega Slowbro,95,75,180,130,80,30,Water Psychic
Slowbro Galarian Slowbro,95,100,95,100,70,30,Poison Psychic
Magnemite,25,35,70,95,55,45,Electric Steel
Magneton,50,60,95,120,70,70,Electric Steel
Farfetch'd,52,90,55,58,62,60,Normal Flying
Farfetch'd Galarian Farfetch'd,52,95,55,58,62,55,Fighting 
Doduo,35,85,45,35,35,75,Normal Flying
Dodrio,60,110,70,60,60,110,Normal Flying
Seel,65,45,55,45,70,45,Water 
